Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2022,2,Quebec,Non-Canadian & Other,English,77036487
2022,2,West,Conventional ,French,740207
2022,2,West,Conventional ,English,730505261
2022,2,West,Discretionary & On-Demand,English,1194189374
2022,2,West,Discretionary & On-Demand,French,603238
2022,2,West,Non-Canadian & Other,English,293114771
2022,3,Atlantic,Conventional ,English,243548585
2022,3,Atlantic,Conventional ,French,3567000
2022,3,Atlantic,Discretionary & On-Demand,English,493092257
2022,3,Atlantic,Discretionary & On-Demand,French,3851066
2022,3,Atlantic,Non-Canadian & Other,English,96849716
2022,3,Central,Conventional ,English,205089220
2022,3,Central,Conventional ,French,85119
2022,3,Central,Discretionary & On-Demand,English,539396039
2022,3,Central,Discretionary & On-Demand,French,49514
2022,3,Central,Non-Canadian & Other,English,73979119
2022,3,Ontario,Conventional ,English,981996829
2022,3,Ontario,Conventional ,French,23323263
2022,3,Ontario,Discretionary & On-Demand,English,2243098762
2022,3,Ontario,Discretionary & On-Demand,French,29917135
2022,3,Ontario,Non-Canadian & Other,English,494648507
2022,3,Quebec,Conventional ,English,119532257
2022,3,Quebec,Conventional ,French,1207197401
2022,3,Quebec,Discretionary & On-Demand,French,1090844490
2022,3,Quebec,Discretionary & On-Demand,English,187905464
2022,3,Quebec,Non-Canadian & Other,English,79953281
2022,3,West,Conventional ,English,658871003
2022,3,West,Conventional ,French,497474
2022,3,West,Discretionary & On-Demand,English,1202511252
2022,3,West,Discretionary & On-Demand,French,1098493
2022,3,West,Non-Canadian & Other,English,309194099
2022,4,Atlantic,Conventional ,French,6546776
2022,4,Atlantic,Conventional ,English,189315065
2022,4,Atlantic,Discretionary & On-Demand,French,3305254
2022,4,Atlantic,Discretionary & On-Demand,English,382889901
2022,4,Atlantic,Non-Canadian & Other,English,86306175
2022,4,Central,Conventional ,French,22241
2022,4,Central,Conventional ,English,162866424
2022,4,Central,Discretionary & On-Demand,French,82688
2022,4,Central,Discretionary & On-Demand,English,466276042
2022,4,Central,Non-Canadian & Other,English,67358363
