Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2021,3,Toronto,Private Commercial,English,371542809
2021,3,Vancouver,CBC/SRC,French,855564
2021,3,Vancouver,CBC/SRC,English,35509235
2021,3,Vancouver,Non-Commercial,French,
2021,3,Vancouver,Non-Commercial,English,4162
2021,3,Vancouver,Private Commercial,French,870
2021,3,Vancouver,Private Commercial,English,174041977
2021,4,Calgary,CBC/SRC,French,643590
2021,4,Calgary,CBC/SRC,English,19507348
2021,4,Calgary,Non-Commercial,French,
2021,4,Calgary,Non-Commercial,English,18344
2021,4,Calgary,Private Commercial,French,146
2021,4,Calgary,Private Commercial,English,110288229
2021,4,Edmonton,CBC/SRC,French,2683409
2021,4,Edmonton,CBC/SRC,English,11666650
2021,4,Edmonton,Non-Commercial,French,
2021,4,Edmonton,Non-Commercial,English,
2021,4,Edmonton,Private Commercial,French,2276
2021,4,Edmonton,Private Commercial,English,93225134
2021,4,Montreal,CBC/SRC,English,14129306
2021,4,Montreal,CBC/SRC,French,64549291
2021,4,Montreal,Non-Commercial,French,
2021,4,Montreal,Non-Commercial,English,291040
2021,4,Montreal,Private Commercial,English,110796692
2021,4,Montreal,Private Commercial,French,197465066
2021,4,Toronto,CBC/SRC,French,527597
2021,4,Toronto,CBC/SRC,English,80011451
2021,4,Toronto,Non-Commercial,French,
2021,4,Toronto,Non-Commercial,English,9036410
2021,4,Toronto,Private Commercial,French,13295
2021,4,Toronto,Private Commercial,English,402362210
2021,4,Vancouver,CBC/SRC,French,838294
2021,4,Vancouver,CBC/SRC,English,29766870
2021,4,Vancouver,Non-Commercial,French,
2021,4,Vancouver,Non-Commercial,English,5521
2021,4,Vancouver,Private Commercial,French,1027
2021,4,Vancouver,Private Commercial,English,174938570
2022,1,Calgary,CBC/SRC,French,631566
2022,1,Calgary,CBC/SRC,English,21564900
2022,1,Calgary,Non-Commercial,French,
2022,1,Calgary,Non-Commercial,English,17176
2022,1,Calgary,Private Commercial,French,258
2022,1,Calgary,Private Commercial,English,100900557
2022,1,Edmonton,CBC/SRC,French,1336243
2022,1,Edmonton,CBC/SRC,English,12515871
2022,1,Edmonton,Non-Commercial,French,
2022,1,Edmonton,Non-Commercial,English,116
2022,1,Edmonton,Private Commercial,French,45
2022,1,Edmonton,Private Commercial,English,94292149
2022,1,Montreal,CBC/SRC,English,17058117
2022,1,Montreal,CBC/SRC,French,68152269
2022,1,Montreal,Non-Commercial,French,
2022,1,Montreal,Non-Commercial,English,429678
2022,1,Montreal,Private Commercial,English,106513816
2022,1,Montreal,Private Commercial,French,204218331
2022,1,Toronto,CBC/SRC,French,1176255
2022,1,Toronto,CBC/SRC,English,88960867
2022,1,Toronto,Non-Commercial,French,
2022,1,Toronto,Non-Commercial,English,9838847
2022,1,Toronto,Private Commercial,French,45352
2022,1,Toronto,Private Commercial,English,420244007
2022,1,Vancouver,CBC/SRC,French,616817
2022,1,Vancouver,CBC/SRC,English,31105242
2022,1,Vancouver,Non-Commercial,French,
2022,1,Vancouver,Non-Commercial,English,2765
2022,1,Vancouver,Private Commercial,French,238
2022,1,Vancouver,Private Commercial,English,150501256
2022,2,Calgary,CBC/SRC,French,439769
2022,2,Calgary,CBC/SRC,English,19430202
2022,2,Calgary,Non-Commercial,French,
2022,2,Calgary,Non-Commercial,English,610
2022,2,Calgary,Private Commercial,French,144
2022,2,Calgary,Private Commercial,English,87157829
2022,2,Edmonton,CBC/SRC,French,305183
2022,2,Edmonton,CBC/SRC,English,10381770
2022,2,Edmonton,Non-Commercial,French,
2022,2,Edmonton,Non-Commercial,English,32
2022,2,Edmonton,Private Commercial,French,40
2022,2,Edmonton,Private Commercial,English,88061137
2022,2,Montreal,CBC/SRC,English,16540955
2022,2,Montreal,CBC/SRC,French,78365297
2022,2,Montreal,Non-Commercial,French,
2022,2,Montreal,Non-Commercial,English,272462
2022,2,Montreal,Private Commercial,English,95540375
2022,2,Montreal,Private Commercial,French,189797234
2022,2,Toronto,CBC/SRC,French,591050
2022,2,Toronto,CBC/SRC,English,93133350
2022,2,Toronto,Non-Commercial,French,
2022,2,Toronto,Non-Commercial,English,8922766
2022,2,Toronto,Private Commercial,French,22461
2022,2,Toronto,Private Commercial,English,386391973
2022,2,Vancouver,CBC/SRC,French,617049
2022,2,Vancouver,CBC/SRC,English,28463650
2022,2,Vancouver,Non-Commercial,French,
2022,2,Vancouver,Non-Commercial,English,498
2022,2,Vancouver,Private Commercial,French,1201
2022,2,Vancouver,Private Commercial,English,127796443
2022,3,Calgary,CBC/SRC,French,360061
2022,3,Calgary,CBC/SRC,English,15673548
2022,3,Calgary,Non-Commercial,French,
2022,3,Calgary,Non-Commercial,English,
2022,3,Calgary,Private Commercial,French,132
2022,3,Calgary,Private Commercial,English,94090052
2022,3,Edmonton,CBC/SRC,French,498645
2022,3,Edmonton,CBC/SRC,English,9856625
2022,3,Edmonton,Non-Commercial,English,
2022,3,Edmonton,Non-Commercial,French,
2022,3,Edmonton,Private Commercial,French,84
2022,3,Edmonton,Private Commercial,English,92288135
2022,3,Montreal,CBC/SRC,English,14689354
2022,3,Montreal,CBC/SRC,French,75317404
2022,3,Montreal,Non-Commercial,French,
2022,3,Montreal,Non-Commercial,English,403110
2022,3,Montreal,Private Commercial,English,96823069
2022,3,Montreal,Private Commercial,French,215641124
2022,3,Toronto,CBC/SRC,French,2002723
2022,3,Toronto,CBC/SRC,English,78411908
2022,3,Toronto,Non-Commercial,French,
2022,3,Toronto,Non-Commercial,English,8439162
2022,3,Toronto,Private Commercial,French,50859
2022,3,Toronto,Private Commercial,English,382206498
2022,3,Vancouver,CBC/SRC,French,694419
2022,3,Vancouver,CBC/SRC,English,26950939
2022,3,Vancouver,Non-Commercial,French,
2022,3,Vancouver,Non-Commercial,English,
2022,3,Vancouver,Private Commercial,French,190
2022,3,Vancouver,Private Commercial,English,129693504
2022,4,Calgary,CBC/SRC,French,389120
2022,4,Calgary,CBC/SRC,English,13486984
2022,4,Calgary,Non-Commercial,French,
2022,4,Calgary,Non-Commercial,English,2430
2022,4,Calgary,Private Commercial,French,
2022,4,Calgary,Private Commercial,English,99527568
2022,4,Edmonton,CBC/SRC,French,466777
2022,4,Edmonton,CBC/SRC,English,9717354
2022,4,Edmonton,Non-Commercial,French,
2022,4,Edmonton,Non-Commercial,English,91
2022,4,Edmonton,Private Commercial,French,
2022,4,Edmonton,Private Commercial,English,97286252
2022,4,Montreal,CBC/SRC,English,14592600
2022,4,Montreal,CBC/SRC,French,73862387
2022,4,Montreal,Non-Commercial,French,
2022,4,Montreal,Non-Commercial,English,343862
2022,4,Montreal,Private Commercial,English,94902031
2022,4,Montreal,Private Commercial,French,203778416
2022,4,Toronto,CBC/SRC,French,604752
2022,4,Toronto,CBC/SRC,English,68786485
2022,4,Toronto,Non-Commercial,French,
2022,4,Toronto,Non-Commercial,English,8947239
2022,4,Toronto,Private Commercial,French,133429
2022,4,Toronto,Private Commercial,English,389325540
2022,4,Vancouver,CBC/SRC,French,775265
2022,4,Vancouver,CBC/SRC,English,23250385
2022,4,Vancouver,Non-Commercial,French,
2022,4,Vancouver,Non-Commercial,English,15849
2022,4,Vancouver,Private Commercial,French,2878
2022,4,Vancouver,Private Commercial,English,126097872
2023,1,Calgary,CBC/SRC,French,328217
2023,1,Calgary,CBC/SRC,English,13593864
2023,1,Calgary,Non-Commercial,French,
2023,1,Calgary,Non-Commercial,English,43
2023,1,Calgary,Private Commercial,French,219
2023,1,Calgary,Private Commercial,English,93240985
2023,1,Edmonton,CBC/SRC,French,281186
2023,1,Edmonton,CBC/SRC,English,9715406
2023,1,Edmonton,Non-Commercial,French,
2023,1,Edmonton,Non-Commercial,English,
2023,1,Edmonton,Private Commercial,French,1131
2023,1,Edmonton,Private Commercial,English,93861818
2023,1,Montreal,CBC/SRC,English,16123967
2023,1,Montreal,CBC/SRC,French,81920379
2023,1,Montreal,Non-Commercial,French,
2023,1,Montreal,Non-Commercial,English,40495
2023,1,Montreal,Private Commercial,English,82803184
2023,1,Montreal,Private Commercial,French,225812660
2023,1,Toronto,CBC/SRC,French,726296
2023,1,Toronto,CBC/SRC,English,77934086
2023,1,Toronto,Non-Commercial,French,
2023,1,Toronto,Non-Commercial,English,9665405
2023,1,Toronto,Private Commercial,French,3924
2023,1,Toronto,Private Commercial,English,387650003
2023,1,Vancouver,CBC/SRC,French,1049743
2023,1,Vancouver,CBC/SRC,English,25103400
2023,1,Vancouver,Non-Commercial,French,
2023,1,Vancouver,Non-Commercial,English,493
2023,1,Vancouver,Private Commercial,French,3762
2023,1,Vancouver,Private Commercial,English,129854894
2023,2,Calgary,CBC/SRC,French,248347
2023,2,Calgary,CBC/SRC,English,11827639
2023,2,Calgary,Non-Commercial,French,
2023,2,Calgary,Non-Commercial,English,
2023,2,Calgary,Private Commercial,French,80
2023,2,Calgary,Private Commercial,English,81914200
2023,2,Edmonton,CBC/SRC,French,551690
2023,2,Edmonton,CBC/SRC,English,9487943
2023,2,Edmonton,Non-Commercial,French,
2023,2,Edmonton,Non-Commercial,English,25
2023,2,Edmonton,Private Commercial,French,
2023,2,Edmonton,Private Commercial,English,84071320
2023,2,Montreal,CBC/SRC,English,15215492
2023,2,Montreal,CBC/SRC,French,89150798
2023,2,Montreal,Non-Commercial,French,
2023,2,Montreal,Non-Commercial,English,24586
2023,2,Montreal,Private Commercial,English,85744785
2023,2,Montreal,Private Commercial,French,217302833
2023,2,Toronto,CBC/SRC,French,384909
2023,2,Toronto,CBC/SRC,English,71556803
2023,2,Toronto,Non-Commercial,French,
2023,2,Toronto,Non-Commercial,English,7414399
2023,2,Toronto,Private Commercial,French,30680
2023,2,Toronto,Private Commercial,English,377732369
2023,2,Vancouver,CBC/SRC,French,1046140
2023,2,Vancouver,CBC/SRC,English,25607095
2023,2,Vancouver,Non-Commercial,French,
2023,2,Vancouver,Non-Commercial,English,1392
2023,2,Vancouver,Private Commercial,French,478
2023,2,Vancouver,Private Commercial,English,123027614
2023,3,Calgary,CBC/SRC,French,475060
2023,3,Calgary,CBC/SRC,English,13312914
2023,3,Calgary,Non-Commercial,French,
2023,3,Calgary,Non-Commercial,English,1018
2023,3,Calgary,Private Commercial,French,233
2023,3,Calgary,Private Commercial,English,86724974
2023,3,Edmonton,CBC/SRC,French,655287
2023,3,Edmonton,CBC/SRC,English,11138124
2023,3,Edmonton,Non-Commercial,French,
2023,3,Edmonton,Non-Commercial,English,273
2023,3,Edmonton,Private Commercial,French,352
2023,3,Edmonton,Private Commercial,English,88882091
2023,3,Montreal,CBC/SRC,English,15194275
2023,3,Montreal,CBC/SRC,French,83919609
2023,3,Montreal,Non-Commercial,French,
2023,3,Montreal,Non-Commercial,English,44441
2023,3,Montreal,Private Commercial,English,86652958
2023,3,Montreal,Private Commercial,French,239630728
2023,3,Toronto,CBC/SRC,French,615572
2023,3,Toronto,CBC/SRC,English,68431404
2023,3,Toronto,Non-Commercial,French,
2023,3,Toronto,Non-Commercial,English,7339878
2023,3,Toronto,Private Commercial,French,64085
2023,3,Toronto,Private Commercial,English,377177443
2023,3,Vancouver,CBC/SRC,French,1417731
2023,3,Vancouver,CBC/SRC,English,23494941
2023,3,Vancouver,Non-Commercial,French,
2023,3,Vancouver,Non-Commercial,English,1541
2023,3,Vancouver,Private Commercial,French,11369
2023,3,Vancouver,Private Commercial,English,123138164
2023,4,Calgary,CBC/SRC,French,293755
2023,4,Calgary,CBC/SRC,English,12216465
2023,4,Calgary,Non-Commercial,English,
2023,4,Calgary,Non-Commercial,French,
2023,4,Calgary,Private Commercial,French,13680
2023,4,Calgary,Private Commercial,English,81864336
2023,4,Edmonton,CBC/SRC,French,690976
2023,4,Edmonton,CBC/SRC,English,11947608
2023,4,Edmonton,Non-Commercial,French,
2023,4,Edmonton,Non-Commercial,English,731
2023,4,Edmonton,Private Commercial,French,1755
2023,4,Edmonton,Private Commercial,English,85537258
2023,4,Montreal,CBC/SRC,English,13504744
2023,4,Montreal,CBC/SRC,French,79791858
2023,4,Montreal,Non-Commercial,French,
2023,4,Montreal,Non-Commercial,English,9820
2023,4,Montreal,Private Commercial,English,91953673
2023,4,Montreal,Private Commercial,French,209717921
2023,4,Toronto,CBC/SRC,French,986354
2023,4,Toronto,CBC/SRC,English,63187262
2023,4,Toronto,Non-Commercial,French,
2023,4,Toronto,Non-Commercial,English,6035171
2023,4,Toronto,Private Commercial,French,24440
2023,4,Toronto,Private Commercial,English,392485774
2023,4,Vancouver,CBC/SRC,French,1147411
